	idx	beta	pval	cilb	ciub	i2	tau2	symbol
ENSG00000080503.18	25652	-0.787596769384986	3.81473951618912e-22	-0.947132405702823	-0.628061133067149	96.1865950933022	0.133108240377427	SMARCA2
ENSG00000151090.16	43992	-1.63747643531931	4.44976497277963e-11	-2.1246140484919	-1.15033882214671	99.0632033071403	1.34921987170486	THRB
ENSG00000163431.12	59389	-2.62463230980454	1.26446009057086e-10	-3.42448870064293	-1.82477591896616	98.9545851031295	3.50892489860524	LMOD1
ENSG00000144524.16	23086	0.368482650710393	2.37221040674491e-09	0.247509448602636	0.489455852818149	96.7892858023335	0.076822210820858	COPS7B
ENSG00000117262.17	18519	0.545797260856553	3.45644377021512e-08	0.35188338387151	0.739711137841596	97.6686389881172	0.202835442345888	GPR89A
ENSG00000115474.6	16889	-1.86136590646848	1.89141546288745e-06	-2.62704173415479	-1.09569007878217	91.502199570005	2.65658894663648	KCNJ13
ENSG00000158411.9	22388	0.386881959902426	3.13934193159193e-06	0.22421394313601	0.549549976668842	96.6382160627458	0.142673248249464	MITD1
ENSG00000102043.14	30910	-0.683542067262347	3.61383439377264e-06	-0.972745645372696	-0.394338489151997	97.3991707972991	0.461220536327437	MTMR8
ENSG00000088179.7	66	-0.426517812809727	3.92401998536886e-05	-0.629819898142473	-0.22321572747698	97.2784038565457	0.219787894879869	PTPN4
ENSG00000117859.17	32842	-0.247202471336077	0.000215874637471596	-0.378162020736035	-0.11624292193612	96.4650072939217	0.089788138570012	OSBPL9
ENSG00000084072.15	5888	0.192558860176945	0.000419282555061712	0.0855727532364886	0.299544967117401	94.7877766242191	0.0578927872574615	PPIE
ENSG00000114541.13	28238	-0.555873156615118	0.000903731450144342	-0.884142080219992	-0.227604233010243	98.5971298657076	0.592727352375616	FRMD4B
ENSG00000124831.17	22501	-0.338340009727613	0.00092247732944929	-0.538491513341112	-0.138188506114113	97.8905697708709	0.216887023890159	LRRFIP1
ENSG00000138385.14	41133	0.221484771758558	0.00187663624631519	0.0818612890936374	0.361108254423479	97.9924334663102	0.111202926234648	SSB
ENSG00000116983.11	24479	-1.5877038095442	0.0039776082632077	-2.66823007827591	-0.507177540812499	97.7719110653793	6.31449953181138	HPCAL4
ENSG00000204120.13	52359	-0.156805137092547	0.00617240835098688	-0.269032548755075	-0.0445777254300185	95.3989133194424	0.065711676914417	GIGYF2
ENSG00000091409.13	39375	0.539608149770678	0.00731616827775829	0.145285524594329	0.933930774947027	98.6769350969461	0.875989890644462	ITGA6
ENSG00000163866.8	23912	-0.186513767397958	0.00851797144410107	-0.325466864460888	-0.0475606703350275	95.7438634317964	0.102365812518136	SMIM12
ENSG00000157445.13	25215	-0.874603077790379	0.0124136876056142	-1.56023513584119	-0.188971019739565	98.9905336236438	2.70011292662139	CACNA2D3
ENSG00000142765.16	18296	0.626245162218186	0.0124797594395952	0.13493994970823	1.11755037472814	97.821046365196	1.28636367512839	SYTL1
ENSG00000198626.14	37808	-1.10067089489736	0.0134995252363327	-1.97395139795741	-0.22739039183732	98.7922577632985	4.20319010690916	RYR2
ENSG00000117118.8	48536	-0.296526666904019	0.026160454459712	-0.55787029569199	-0.0351830381160467	98.8765784421076	0.398546897577293	SDHB
ENSG00000213185.5	4382	0.480701743872048	0.0360303950540061	0.0313240921003307	0.930079395643765	98.1182541010414	1.09546268937905	FAM24B
ENSG00000171680.19	48073	0.402991716835302	0.0483885798632388	0.00285326245737039	0.803130171213233	98.7341512059854	0.883014888415261	PLEKHG5
